Trial,Wire,NetType,Run,RunSteps,NetworkFilename,Image,Forward,Left,LeftRotation
10,1fail,actor,141,4,actor_141_4.h5,13,0.423559,0.274056,-0.000736133
10,1fail,actor,141,4,actor_141_4.h5,14,0.432278,0.23781,-0.0732901
10,1fail,actor,141,4,actor_141_4.h5,15,0.428549,0.23495,0.0247833
10,1fail,actor,141,4,actor_141_4.h5,16,0.425991,0.255976,-0.104756
10,1fail,actor,151,5,actor_151_5.h5,01,0.431173,0.236861,-0.00743773
10,1fail,actor,151,5,actor_151_5.h5,02,0.415559,0.219097,-0.0890503
10,1fail,actor,151,5,actor_151_5.h5,03,0.426433,0.24729,-0.0346685
10,1fail,actor,151,5,actor_151_5.h5,04,0.436817,0.18012,-0.0639497
10,1fail,actor,151,5,actor_151_5.h5,05,0.422115,0.24283,-0.0570787
10,1fail,actor,151,5,actor_151_5.h5,06,0.419177,0.255304,-0.0112701
10,1fail,actor,151,5,actor_151_5.h5,07,0.421662,0.213833,-0.088321
10,1fail,actor,151,5,actor_151_5.h5,08,0.432899,0.201048,-0.131325
10,1fail,actor,151,5,actor_151_5.h5,09,0.449531,0.145442,-0.0466474
10,1fail,actor,151,5,actor_151_5.h5,10,0.419859,0.24282,0.00346103
10,1fail,actor,151,5,actor_151_5.h5,11,0.42189,0.24255,-0.0564356
10,1fail,actor,151,5,actor_151_5.h5,12,0.426707,0.191739,-0.121489
10,1fail,actor,151,5,actor_151_5.h5,13,0.42037,0.259905,-0.0184056
10,1fail,actor,151,5,actor_151_5.h5,14,0.431571,0.209104,-0.111402
10,1fail,actor,151,5,actor_151_5.h5,15,0.42663,0.22211,0.00915424
10,1fail,actor,151,5,actor_151_5.h5,16,0.423526,0.220763,-0.135308
10,1fail,actor,161,5,actor_161_5.h5,01,0.424273,0.251941,-0.00964629
10,1fail,actor,161,5,actor_161_5.h5,02,0.409451,0.226899,-0.0981721
10,1fail,actor,161,5,actor_161_5.h5,03,0.418677,0.272128,-0.0312772
10,1fail,actor,161,5,actor_161_5.h5,04,0.432036,0.179952,-0.0793051
10,1fail,actor,161,5,actor_161_5.h5,05,0.41406,0.261203,-0.0573798
10,1fail,actor,161,5,actor_161_5.h5,06,0.411888,0.275971,-0.00809257
10,1fail,actor,161,5,actor_161_5.h5,07,0.415523,0.216205,-0.107109
10,1fail,actor,161,5,actor_161_5.h5,08,0.428339,0.201116,-0.152471
10,1fail,actor,161,5,actor_161_5.h5,09,0.444999,0.153462,-0.052643
10,1fail,actor,161,5,actor_161_5.h5,10,0.411274,0.270422,0.0120474
10,1fail,actor,161,5,actor_161_5.h5,11,0.415719,0.25419,-0.0638077
10,1fail,actor,161,5,actor_161_5.h5,12,0.420794,0.198359,-0.13338
10,1fail,actor,161,5,actor_161_5.h5,13,0.412484,0.285118,-0.0127217
10,1fail,actor,161,5,actor_161_5.h5,14,0.426407,0.211918,-0.132222
10,1fail,actor,161,5,actor_161_5.h5,15,0.418648,0.251162,0.0181806
10,1fail,actor,161,5,actor_161_5.h5,16,0.416839,0.225504,-0.15104
10,1fail,actor,171,5,actor_171_5.h5,01,0.414103,0.265842,-0.0200177
10,1fail,actor,171,5,actor_171_5.h5,02,0.402141,0.230291,-0.120768
10,1fail,actor,171,5,actor_171_5.h5,03,0.407936,0.29823,-0.0311463
10,1fail,actor,171,5,actor_171_5.h5,04,0.42467,0.179966,-0.0986818
10,1fail,actor,171,5,actor_171_5.h5,05,0.403737,0.281988,-0.0626557
10,1fail,actor,171,5,actor_171_5.h5,06,0.401983,0.294912,-0.0102797
10,1fail,actor,171,5,actor_171_5.h5,07,0.407011,0.21583,-0.134904
10,1fail,actor,171,5,actor_171_5.h5,08,0.421451,0.203236,-0.180131
10,1fail,actor,171,5,actor_171_5.h5,09,0.438636,0.162931,-0.0648019
10,1fail,actor,171,5,actor_171_5.h5,10,0.400512,0.30452,0.0166674
10,1fail,actor,171,5,actor_171_5.h5,11,0.407128,0.265836,-0.0762563
10,1fail,actor,171,5,actor_171_5.h5,12,0.412097,0.202802,-0.154744
10,1fail,actor,171,5,actor_171_5.h5,13,0.402672,0.310411,-0.0107609
10,1fail,actor,171,5,actor_171_5.h5,14,0.418918,0.213968,-0.16121
10,1fail,actor,171,5,actor_171_5.h5,15,0.408107,0.285391,0.0237316
10,1fail,actor,171,5,actor_171_5.h5,16,0.407837,0.23014,-0.176108
10,1fail,actor,181,5,actor_181_5.h5,01,0.402277,0.281202,-0.0322804
